id	name	image	minHP	maxHP	minAttack	maxAttack	abilityPassive	abilityActive	firstMap	lastMap	alignment	disabled	Lore
ruokolahdenleijona	Ruokolahden leijona	ruokolahdenleijona.png	80	100	5	15	-	-	1	3	forest	FALSE	Ruokolahden leijona on tarina, joka liittyy Suomen itsenäistymisen aikaan. Tarinan mukaan sotilas nimeltä Lassi Laine oli ampunut mahtavan leijonan Ruokolahdella vuonna 1918. Tarinan kertojat ovat vuosien saatossa lisänneet yksityiskohtia tarinaan, mutta yleisesti se kertoo rohkeudesta ja itsenäisyyden hengestä.
tuonelanjoutsen	Tuonen joutsen	tuonelanjoutsen.png	80	100	5	15	-	-	1	3	forest	FALSE	Tuonelan joutsen on yksi Kalevalan mystisistä hahmoista, joka esiintyy vain muutamassa säkeessä. Joutsenella on erityinen merkitys suomalaisessa kansanperinteessä, sillä se on perinteisesti nähty kuoleman symbolina ja sielun kantajana tuonpuoleiseen.  Kalevalassa joutsen mainitaan vain kerran, kun Väinämöinen etsii itselleen sopivaa soitinta. Väinämöinen haluaa löytää jousisoittimen, mutta hän ei löydä sellaista mistään. Tällöin hän kuulee, miten tuonelan joutsen laulaa surumielistä lauluaan, ja hän tajuaa, että joutsen voi olla juuri sopiva soitin hänelle.  Väinämöinen lähtee etsimään joutsenta ja löytää sen Tuonelan joesta. Hän tappaa joutsenen ja tekee sen luista jousen, jonka avulla hän soittaa kauniita surulauluja.  Tuonelan joutsen symboloi kuolemaa ja kuoleman jälkeistä elämää, ja sen laulu on surullinen ja kaunis samanaikaisesti. Joutsen liittyy myös moniin muihin suomalaisiin myytteihin ja tarinoihin.    
hammaspeikko	Hammaspeikko	hammaspeikko.png	80	100	5	15	-	-	1	3	fields	FALSE	Hammaspeikko on kansantarun hahmo, joka liittyy lasten hampaiden irtoamiseen ja vaihtumiseen. Tarun mukaan hammaspeikko tulee öisin lasten huoneisiin ja vaihtaa lasten irronneet maitohampaat rahaksi tai lahjaksi.  Hammaspeikko on erityisesti länsimaisessa kulttuurissa tunnettu hahmo, ja sen tarkka alkuperä on hieman hämärän peitossa. Tarun tarkoituksena on kannustaa lapsia huolehtimaan hampaidensa hygieniasta ja rohkaista heitä odottamaan uusia, pysyviä hampaita.
tulikettu	Tulikettu	tulikettu.png	80	100	5	15	-	-	1	3	fields	FALSE	
haminanmursu	Haminan mursu	haminanmursu.png	80	100	5	15	-	-	1	3	fields	TRUE	
aarni	Aarni	aarni.png	80	100	5	15	-	-	1	3	fields	FALSE	
hiisi	Hiisi	hiisi.png	80	100	5	15	-	-	1	3	fields	FALSE	
kokkolintu	Kokkolintu	kokkolintu.png	80	100	5	15	-	-	1	3	fields	FALSE	
vesihiisi	Vesihiisi	vesihiisi.png	80	100	5	15	-	-	1	3	fields	FALSE	
meriraukka	Meriraukka	meriraukka.png	80	100	5	15	-	-	1	3	fields	FALSE	
hiidenhirvi	Hiidenhirvi	hiidenhirvi.png	80	100	5	15	-	-	1	3	fields	FALSE	
